디자인번호,구조번호,전체화면 구조,시험대상,추천24종
001,01,통합 관제 데스크,일반용,
002,01,통합 관제 데스크,전장용,
003,01,통합 관제 데스크,신입용,
004,01,통합 관제 데스크,외국인용,
005,02,대상별 시작 화면,일반용,추천
006,02,대상별 시작 화면,전장용,추천
007,02,대상별 시작 화면,신입용,추천
008,02,대상별 시작 화면,외국인용,추천
009,03,시험지 문서 스튜디오,일반용,추천
010,03,시험지 문서 스튜디오,전장용,추천
011,03,시험지 문서 스튜디오,신입용,추천
012,03,시험지 문서 스튜디오,외국인용,추천
013,04,전체 페이지 월,일반용,
014,04,전체 페이지 월,전장용,
015,04,전체 페이지 월,신입용,
016,04,전체 페이지 월,외국인용,
017,05,단계별 생성 마법사,일반용,
018,05,단계별 생성 마법사,전장용,
019,05,단계별 생성 마법사,신입용,
020,05,단계별 생성 마법사,외국인용,
021,06,검색 중심 콘솔,일반용,
022,06,검색 중심 콘솔,전장용,
023,06,검색 중심 콘솔,신입용,
024,06,검색 중심 콘솔,외국인용,
025,07,공정·대상 매트릭스,일반용,
026,07,공정·대상 매트릭스,전장용,
027,07,공정·대상 매트릭스,신입용,
028,07,공정·대상 매트릭스,외국인용,
029,08,현장 터치 키오스크,일반용,추천
030,08,현장 터치 키오스크,전장용,추천
031,08,현장 터치 키오스크,신입용,추천
032,08,현장 터치 키오스크,외국인용,추천
033,09,컴팩트 사이드바,일반용,
034,09,컴팩트 사이드바,전장용,
035,09,컴팩트 사이드바,신입용,
036,09,컴팩트 사이드바,외국인용,
037,10,한 문제 집중 화면,일반용,추천
038,10,한 문제 집중 화면,전장용,추천
039,10,한 문제 집중 화면,신입용,추천
040,10,한 문제 집중 화면,외국인용,추천
041,11,페이지 개요 보드,일반용,
042,11,페이지 개요 보드,전장용,
043,11,페이지 개요 보드,신입용,
044,11,페이지 개요 보드,외국인용,
045,12,신입 교육 경로,일반용,
046,12,신입 교육 경로,전장용,
047,12,신입 교육 경로,신입용,
048,12,신입 교육 경로,외국인용,
049,13,시험 템플릿 라이브러리,일반용,
050,13,시험 템플릿 라이브러리,전장용,
051,13,시험 템플릿 라이브러리,신입용,
052,13,시험 템플릿 라이브러리,외국인용,
053,14,출력 대기열 센터,일반용,
054,14,출력 대기열 센터,전장용,
055,14,출력 대기열 센터,신입용,
056,14,출력 대기열 센터,외국인용,
057,15,감사 이력 타임라인,일반용,
058,15,감사 이력 타임라인,전장용,
059,15,감사 이력 타임라인,신입용,
060,15,감사 이력 타임라인,외국인용,
061,16,다국어 시험 스테이션,일반용,추천
062,16,다국어 시험 스테이션,전장용,추천
063,16,다국어 시험 스테이션,신입용,추천
064,16,다국어 시험 스테이션,외국인용,추천
065,17,시험 준비 칸반,일반용,
066,17,시험 준비 칸반,전장용,
067,17,시험 준비 칸반,신입용,
068,17,시험 준비 칸반,외국인용,
069,18,시험 일정 캘린더,일반용,
070,18,시험 일정 캘린더,전장용,
071,18,시험 일정 캘린더,신입용,
072,18,시험 일정 캘린더,외국인용,
073,19,품질 지표 콕핏,일반용,
074,19,품질 지표 콕핏,전장용,
075,19,품질 지표 콕핏,신입용,
076,19,품질 지표 콕핏,외국인용,
077,20,리본형 업무 공간,일반용,
078,20,리본형 업무 공간,전장용,
079,20,리본형 업무 공간,신입용,
080,20,리본형 업무 공간,외국인용,
081,21,문항 검토 인스펙터,일반용,
082,21,문항 검토 인스펙터,전장용,
083,21,문항 검토 인스펙터,신입용,
084,21,문항 검토 인스펙터,외국인용,
085,22,미니멀 실행 화면,일반용,
086,22,미니멀 실행 화면,전장용,
087,22,미니멀 실행 화면,신입용,
088,22,미니멀 실행 화면,외국인용,
089,23,고대비 접근성 화면,일반용,
090,23,고대비 접근성 화면,전장용,
091,23,고대비 접근성 화면,신입용,
092,23,고대비 접근성 화면,외국인용,
093,24,선정·출력 듀얼 화면,일반용,
094,24,선정·출력 듀얼 화면,전장용,
095,24,선정·출력 듀얼 화면,신입용,
096,24,선정·출력 듀얼 화면,외국인용,
097,25,공정 흐름 블루프린트,일반용,
098,25,공정 흐름 블루프린트,전장용,
099,25,공정 흐름 블루프린트,신입용,
100,25,공정 흐름 블루프린트,외국인용,
101,26,종이 우선 미리보기,일반용,추천
102,26,종이 우선 미리보기,전장용,추천
103,26,종이 우선 미리보기,신입용,추천
104,26,종이 우선 미리보기,외국인용,추천
105,27,대상별 밴드 선택,일반용,
106,27,대상별 밴드 선택,전장용,
107,27,대상별 밴드 선택,신입용,
108,27,대상별 밴드 선택,외국인용,
109,28,시험 생성 플로우 맵,일반용,
110,28,시험 생성 플로우 맵,전장용,
111,28,시험 생성 플로우 맵,신입용,
112,28,시험 생성 플로우 맵,외국인용,
113,29,작업자 브리핑 화면,일반용,
114,29,작업자 브리핑 화면,전장용,
115,29,작업자 브리핑 화면,신입용,
116,29,작업자 브리핑 화면,외국인용,
117,30,시험 패키지 탐색기,일반용,
118,30,시험 패키지 탐색기,전장용,
119,30,시험 패키지 탐색기,신입용,
120,30,시험 패키지 탐색기,외국인용,
